market,opening_price,trade_price,high_price,low_price,candle_acc_trade_volume,candle_date_time_kst
KRW-CVC,143.1,143.6,143.6,143.1,278.6088945,2024-09-14T22:40:00
KRW-IQ,6.463,6.463,6.463,6.463,395279.03794352,2024-09-14T22:50:00
KRW-IQ,6.458,6.458,6.458,6.458,650073.10508036,2024-09-14T22:40:00
KRW-IQ,6.467,6.458,6.467,6.458,430632.06058248,2024-09-14T22:35:00
KRW-IOTA,172.8,172.8,172.8,172.8,10057.87037037,2024-09-14T22:45:00
KRW-IOTA,172.8,172.8,172.8,172.8,30.0,2024-09-14T22:40:00
KRW-IOTA,172.8,172.8,172.8,172.8,28.94097222,2024-09-14T22:35:00
BTC-RVN,3e-07,3e-07,3e-07,3e-07,1700.0,2024-09-14T22:30:00
BTC-RVN,2.9e-07,3e-07,3e-07,2.9e-07,95528.10789119,2024-09-14T21:40:00
BTC-RVN,2.9e-07,2.9e-07,2.9e-07,2.9e-07,33281.08769651,2024-09-14T21:20:00
BTC-GO,6e-08,6e-08,6e-08,6e-08,29160.91666666,2024-09-14T21:00:00
BTC-GO,6e-08,6e-08,6e-08,6e-08,10000.0,2024-09-14T14:30:00
BTC-GO,5e-08,5e-08,5e-08,5e-08,264839.11773562,2024-09-14T12:15:00
BTC-UPP,9e-07,9e-07,9e-07,9e-07,2200.0,2024-09-14T15:00:00
BTC-UPP,8.9e-07,8.9e-07,8.9e-07,8.9e-07,694.11764705,2024-09-13T19:10:00
BTC-UPP,9.3e-07,9.3e-07,9.3e-07,9.3e-07,602.41935483,2024-09-13T15:15:00
BTC-ENJ,2.43e-06,2.45e-06,2.45e-06,2.43e-06,10952.90251916,2024-09-14T20:00:00
BTC-ENJ,2.46e-06,2.46e-06,2.46e-06,2.46e-06,227.64227642,2024-09-14T19:30:00
BTC-ENJ,2.46e-06,2.46e-06,2.46e-06,2.46e-06,77.48241421,2024-09-14T16:15:00
KRW-HIFI,600.2,600.2,600.2,600.2,5364.15947,2024-09-14T22:50:00
KRW-HIFI,600.1,600.2,600.6,599.5,6957.9475637,2024-09-14T22:45:00
KRW-HIFI,600.1,600.1,600.1,600.1,563.3,2024-09-14T22:40:00
KRW-ONG,376.8,377.6,378.3,376.8,36993.70546391,2024-09-14T22:50:00
KRW-ONG,376.3,376.6,376.6,376.3,3136.7562,2024-09-14T22:45:00
KRW-ONG,376.1,376.1,376.1,376.1,1169.11412918,2024-09-14T22:10:00
KRW-GAS,4505.0,4515.0,4515.0,4504.0,1236.54232328,2024-09-14T22:50:00
KRW-GAS,4505.0,4504.0,4512.0,4504.0,3389.80010789,2024-09-14T22:45:00
KRW-GAS,4504.0,4504.0,4504.0,4504.0,261.11165079,2024-09-14T22:40:00
BTC-MTL,1.528e-05,1.528e-05,1.528e-05,1.528e-05,15.24426592,2024-09-13T16:10:00
BTC-MTL,1.546e-05,1.587e-05,1.587e-05,1.546e-05,28.74623216,2024-09-13T10:10:00
BTC-MTL,1.547e-05,1.547e-05,1.547e-05,1.547e-05,204.32144499,2024-09-12T16:35:00
KRW-UPP,69.75,69.75,69.75,69.75,292.67086886,2024-09-14T22:50:00
KRW-UPP,69.75,69.75,69.75,69.75,3532.98619507,2024-09-14T22:45:00
KRW-UPP,69.75,69.75,69.75,69.75,71.68458781,2024-09-14T22:40:00
KRW-ELF,501.7,501.5,501.7,501.5,4148.32742926,2024-09-14T22:35:00
KRW-ELF,502.4,502.4,502.4,502.4,632.23415152,2024-09-14T22:20:00
KRW-ELF,502.4,502.4,502.4,502.4,3778.9864037,2024-09-14T22:15:00
USDT-DOGE,0.1103,0.1103,0.1103,0.1103,45.33091568,2024-09-14T19:20:00
USDT-DOGE,0.1103,0.1103,0.1103,0.1103,61.66019057,2024-09-14T17:40:00
USDT-DOGE,0.1103,0.1103,0.1103,0.1103,91.37678663,2024-09-14T17:35:00
USDT-ZRX,0.2665,0.2665,0.2665,0.2665,7.860653,2024-09-12T20:10:00
USDT-ZRX,0.2805,0.2805,0.2805,0.2805,2.0,2024-09-11T13:15:00
USDT-ZRX,0.282,0.282,0.282,0.282,2.0,2024-09-11T10:30:00
USDT-RVN,0.01788,0.01788,0.01788,0.01788,10000.0,2024-09-14T22:05:00
USDT-RVN,0.01788,0.01788,0.01788,0.01788,103.55472379,2024-09-14T16:50:00
